Rank_2025_26,State,Exports_2021_22_USD_Mn,Exports_2022_23_USD_Mn,Exports_2023_24_USD_Mn,Exports_2024_25_USD_Mn,Exports_2025_26_USD_Mn,CAGR_2021_22_to_2025_26_pct,Growth_2025_26_vs_2024_25_pct,Share_2025_26_pct,Financial_Year,Currency,Unit,Source
1,Gujarat,126805.21,149399.57,134392.42,116345.99,110634.15,-3.35,-4.91,25.04,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
2,Maharashtra,73119.5,72437.52,67201.71,65912.79,70113.74,-1.04,6.37,15.87,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
3,Tamil Nadu,35169.43,40654.69,43554.56,52173.0,59306.26,13.96,13.67,13.43,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
4,Karnataka,25874.5,27937.46,26630.94,30481.91,34397.91,7.38,12.85,7.79,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
5,Uttar Pradesh,21034.17,21686.51,20572.39,21980.44,22771.42,2.0,3.6,5.15,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
6,Haryana,15550.22,15859.05,17653.24,19102.39,20566.56,7.24,7.66,4.66,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
7,Andhra Pradesh,19311.79,19860.62,19759.86,20782.81,19979.71,0.85,-3.86,4.52,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
8,Telangana,10995.38,11412.4,14030.07,19126.94,13874.4,5.99,-27.46,3.14,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
9,West Bengal,13895.02,12748.62,11712.78,12667.56,12884.5,-1.87,1.71,2.92,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
10,Rajasthan,9654.59,9686.76,10108.76,11475.68,11180.5,3.74,-2.57,2.53,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
11,Odisha,17060.7,11222.99,11931.0,10097.98,10790.82,-10.82,6.86,2.44,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
12,Delhi,8259.41,8146.37,10230.22,10520.87,10670.51,6.61,1.42,2.42,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
